,avgIncome
1969,4357.0
1970,4161.0
1971,4387.0
1972,4875.0
1973,5347.0
1974,5601.0
1975,5978.0
1976,6924.0
1977,7868.0
1978,8886.0
1979,9840.0
1980,10427.0
1981,11139.0
1982,11784.0
1983,12875.0
1984,14715.0
1985,16357.0
1986,17542.0
1987,18065.0
1988,19428.0
1989,20583.0
1990,21010.0
1991,21130.0
1992,22771.0
1993,24181.0
1994,26535.0
1995,27695.0
1996,28814.0
1997,30406.0
1998,32579.0
1999,33889.0
2000,35962.0
2001,36751.0
2002,36015.0
2003,35852.0
2004,35950.0
2005,37220.0
2006,38174.0
2007,39752.0
2008,40551.0
2009,38335.0
2010,39638.0
2011,42840.0
2012,45222.0
2013,45770.0
2014,47833.0
2015,50871.0
2016,53720.0
2017,55799.0
