,avgIncome
1969,4361.0
1970,4381.0
1971,4705.0
1972,5268.0
1973,5893.0
1974,6206.0
1975,6540.0
1976,7489.0
1977,8553.0
1978,9604.0
1979,10419.0
1980,10915.0
1981,11723.0
1982,12089.0
1983,12988.0
1984,14564.0
1985,16360.0
1986,17321.0
1987,17742.0
1988,19159.0
1989,20366.0
1990,21260.0
1991,21346.0
1992,21617.0
1993,22341.0
1994,23980.0
1995,25107.0
1996,26032.0
1997,27952.0
1998,29231.0
1999,30941.0
2000,33055.0
2001,32508.0
2002,32330.0
2003,33160.0
2004,33491.0
2005,34503.0
2006,34913.0
2007,35826.0
2008,35935.0
2009,33693.0
2010,34351.0
2011,36513.0
2012,37849.0
2013,38271.0
2014,40083.0
2015,42563.0
2016,43364.0
2017,44850.0
