,avgIncome
1969,3751.0
1970,3740.0
1971,4033.0
1972,4541.0
1973,5126.0
1974,5451.0
1975,5803.0
1976,6520.0
1977,7265.0
1978,7983.0
1979,8733.0
1980,9454.0
1981,10228.0
1982,10901.0
1983,11831.0
1984,12680.0
1985,13481.0
1986,14643.0
1987,15106.0
1988,16321.0
1989,17189.0
1990,17565.0
1991,17819.0
1992,19186.0
1993,20366.0
1994,22511.0
1995,23373.0
1996,24200.0
1997,25317.0
1998,26698.0
1999,28452.0
2000,29675.0
2001,30293.0
2002,30230.0
2003,31001.0
2004,32035.0
2005,32681.0
2006,33456.0
2007,34472.0
2008,34968.0
2009,33110.0
2010,34139.0
2011,36110.0
2012,37449.0
2013,38183.0
2014,39972.0
2015,42214.0
2016,43723.0
2017,45363.0
