,avgIncome
1969,5514.0
1970,5471.0
1971,5977.0
1972,6661.0
1973,7384.0
1974,7783.0
1975,8248.0
1976,9351.0
1977,10632.0
1978,11857.0
1979,12999.0
1980,13844.0
1981,14979.0
1982,15523.0
1983,16647.0
1984,18716.0
1985,20718.0
1986,22020.0
1987,22744.0
1988,24502.0
1989,26828.0
1990,27670.0
1991,27474.0
1992,29509.0
1993,31165.0
1994,33534.0
1995,35749.0
1996,37587.0
1997,39207.0
1998,42761.0
1999,44477.0
2000,48256.0
2001,49344.0
2002,48794.0
2003,49037.0
2004,49851.0
2005,50578.0
2006,51189.0
2007,52836.0
2008,52907.0
2009,48386.0
2010,49618.0
2011,54020.0
2012,57651.0
2013,57686.0
2014,60933.0
2015,64786.0
2016,66508.0
2017,68971.0
