,avgIncome
1969,3869.0
1970,3903.0
1971,4089.0
1972,4478.0
1973,4981.0
1974,5311.0
1975,5757.0
1976,6424.0
1977,7196.0
1978,8001.0
1979,8683.0
1980,9383.0
1981,10277.0
1982,10912.0
1983,11711.0
1984,12635.0
1985,13790.0
1986,14432.0
1987,15039.0
1988,15918.0
1989,17232.0
1990,17732.0
1991,18198.0
1992,18633.0
1993,19595.0
1994,21060.0
1995,21974.0
1996,23017.0
1997,24468.0
1998,25687.0
1999,26749.0
2000,28199.0
2001,28483.0
2002,28751.0
2003,29383.0
2004,29948.0
2005,31032.0
2006,31216.0
2007,32301.0
2008,32808.0
2009,31227.0
2010,32318.0
2011,34299.0
2012,35859.0
2013,36215.0
2014,37593.0
2015,39516.0
2016,40702.0
2017,42002.0
