,avgIncome
1969,4708.0
1970,4678.0
1971,5131.0
1972,5590.0
1973,6154.0
1974,6389.0
1975,7194.0
1976,8027.0
1977,8927.0
1978,10071.0
1979,11046.0
1980,12072.0
1981,13092.0
1982,13988.0
1983,15087.0
1984,16536.0
1985,17901.0
1986,18863.0
1987,19576.0
1988,21128.0
1989,22464.0
1990,23477.0
1991,23538.0
1992,24881.0
1993,26144.0
1994,27823.0
1995,29308.0
1996,30150.0
1997,31243.0
1998,32650.0
1999,34336.0
2000,36250.0
2001,37266.0
2002,38186.0
2003,39526.0
2004,39568.0
2005,39979.0
2006,41254.0
2007,42354.0
2008,44278.0
2009,41285.0
2010,45284.0
2011,45070.0
2012,47761.0
2013,47764.0
2014,49642.0
2015,52303.0
2016,54322.0
2017,56348.0
